context,split_seed,n_acquisition_batches,n_subsets,mean_median_gene_pearson,min_median_gene_pearson,max_median_gene_pearson,mean_median_program_pearson,min_median_program_pearson,max_median_program_pearson
zic008_a549,20260929,3,10,0.657766445800995,0.589736002762174,0.7274074533034721,0.8806332620357822,0.8090267056535906,0.9257223019198764
zic008_a549,20260929,4,5,0.7073867433508383,0.6756038252955113,0.7390681043221807,0.9153355417709067,0.8959142023031623,0.9274006634427112
zic008_a549,20260929,5,1,0.7294986431154334,0.7294986431154334,0.7294986431154334,0.9350206585106652,0.9350206585106652,0.9350206585106652
zic008_a549,20260930,1,5,0.40799588145339916,0.19740154862570622,0.5338146876664147,0.6198052411976038,0.31348634136534836,0.8301898600764782
zic008_a549,20260930,2,10,0.5293471284372897,0.3096832146488172,0.6507210827549945,0.7592039293243901,0.4339835909511347,0.9291161458359835
zic008_a549,20260930,3,10,0.593781374427568,0.4557561826121975,0.6817343506562765,0.8155195423417358,0.643004227460172,0.9099065558910399
zic008_a549,20260930,4,5,0.6456937607302581,0.5650598412307806,0.7026397246751762,0.8564134250466664,0.7881576107445035,0.9046231650168384
zic008_a549,20260930,5,1,0.6849916282396818,0.6849916282396818,0.6849916282396818,0.8849985069017801,0.8849985069017801,0.8849985069017801
zic008_a549,20260931,1,5,0.38746601699720556,0.1890737651228587,0.613834364753313,0.5802105503938042,0.3167027917475269,0.8746886504287374
zic008_a549,20260931,2,10,0.49763063845045574,0.2847148923617921,0.6891701074036798,0.7157433536792077,0.45240989762175576,0.9176206598604262
zic008_a549,20260931,3,10,0.5612385032023468,0.3852163244010535,0.6790433856353238,0.7725107227240289,0.5823283259498168,0.8865124723231735
zic008_a549,20260931,4,5,0.6002775023177692,0.4905142069931369,0.6729242078185338,0.8028492531564797,0.6916867757468902,0.8575031892224996
zic008_a549,20260931,5,1,0.6319127975612072,0.6319127975612072,0.6319127975612072,0.8186518368524038,0.8186518368524038,0.8186518368524038
zic008_a549,20260932,1,5,0.38574864761794636,0.19405111221205587,0.5323008999968284,0.6021319533006704,0.288441586787817,0.7782808168235305
zic008_a549,20260932,2,10,0.5217944095671114,0.2925402525009894,0.6689527822833375,0.7358216074129886,0.43672397018560855,0.8963488901387956
zic008_a549,20260932,3,10,0.5842413327521919,0.47188408049505964,0.6753983093749765,0.7887219790245176,0.6386083221680124,0.8899456325227953
zic008_a549,20260932,4,5,0.6263835685848649,0.5867570882840699,0.6627005811192241,0.8202505270575735,0.7728568646740079,0.8827035149252188
zic008_a549,20260932,5,1,0.6726092142037424,0.6726092142037424,0.6726092142037424,0.8293965859500907,0.8293965859500907,0.8293965859500907
zic008_a549,20260933,1,5,0.4403455597155329,0.2915379499234533,0.5192533604062832,0.664184643501138,0.43810867656425256,0.8538709693316547
zic008_a549,20260933,2,10,0.5547394904547308,0.4896551906505297,0.6452165939026299,0.7973899755423193,0.7309371169904012,0.8825228522797597
zic008_a549,20260933,3,10,0.6281938412080799,0.5860415513936545,0.6654078865408557,0.8540024128540411,0.8003169865213577,0.8939006573286863
zic008_a549,20260933,4,5,0.6839761366554311,0.6688330265283366,0.6940601239979797,0.8885775293464656,0.8699725156142045,0.8976189826684652
zic008_a549,20260933,5,1,0.716334412355814,0.716334412355814,0.716334412355814,0.9198770841288672,0.9198770841288672,0.9198770841288672
zic008_a549,20260934,1,5,0.43453697987851003,0.35367476443277995,0.49509795546732144,0.6843637502823652,0.6216281965008515,0.7757692277746374
zic008_a549,20260934,2,10,0.5153121416145235,0.43688202523776604,0.5774402592049668,0.7607905812130468,0.6789244706089196,0.8150083486403521
zic008_a549,20260934,3,10,0.5610232924076911,0.48405818042599436,0.6215455853937866,0.7808492593792355,0.7045623594025265,0.834233266766287
zic008_a549,20260934,4,5,0.5874799596133502,0.5590088357293199,0.6083070311668928,0.7955750953541286,0.7633017838965841,0.8275222485384256
zic008_a549,20260934,5,1,0.6106989334820864,0.6106989334820864,0.6106989334820864,0.8107347868445113,0.8107347868445113,0.8107347868445113
zic008_aec7,20260915,1,8,0.40897987130493385,0.3063998343302385,0.48952845758391733,0.7685980348952854,0.6835977472136617,0.8148112517368434
zic008_aec7,20260915,2,28,0.5029275824678905,0.4263223274669098,0.5742203702892043,0.8379024983625547,0.7314763342312687,0.9060925934542181
zic008_aec7,20260915,3,56,0.5566738444718691,0.48575398967253713,0.6167016332489611,0.8644864504391843,0.7868789631106786,0.9099961943140503
zic008_aec7,20260915,4,70,0.5901857393314014,0.5254507085288425,0.6466357921510412,0.8791719788607775,0.8187071586681733,0.9238827105660362
