target_gene,n_compounds_hit,hub_frac,hub_flag
ADCY1,501,0.0030736007754553654,frequent
ADCY10,142,0.0008711602996300637,specific
ADCY2,161,0.0009877240016932412,specific
ADCY3,191,0.001171771952319311,specific
ADCY4,879,0.0053926049533438445,frequent
ADCY5,491,0.0030122514585800087,frequent
ADCY6,256,0.0015705425120091287,specific
ADCY7,1455,0.008926325605364384,frequent
ADCY8,188,0.001153367157256704,specific
ADCY9,458,0.002809798712891332,specific
ADCYAP1,169,0.0010368034551935265,specific
ADCYAP1R1,260,0.0015950822387592715,specific
ADD1,342,0.0020981466371371954,specific
ADD2,166,0.0010183986601309195,specific
ADD3,299,0.0018343445745731622,specific
ADGB,256,0.0015705425120091287,specific
ADGRA1,417,0.0025582665137023697,specific
ADGRA2,393,0.002411028153201514,specific
ADGRA3,289,0.0017729952576978055,specific
ADGRB1,444,0.002723909669265833,specific
ADGRB2,175,0.0010736130453187405,specific
ADGRB3,354,0.0021717658173876233,specific
ADGRD1,68,0.00041717535475242485,specific
ADGRD2,182,0.00111655756713149,specific
ADGRE1,235,0.00144170894657088,specific
ADGRE2,778,0.004772976852902743,frequent
ADGRE3,169,0.0010368034551935265,specific
ADGRE5,280,0.0017177808725099845,specific
ADGRF1,243,0.0014907884000711653,specific
ADGRF3,242,0.0014846534683836295,specific
ADGRF4,224,0.0013742246980079876,specific
ADGRF5,268,0.0016441616922595566,specific
ADGRG1,544,0.003337402838019399,frequent
ADGRG2,349,0.002141091158949945,specific
ADGRG3,248,0.0015214630585088434,specific
ADGRG4,398,0.0024417028116391925,specific
ADGRG5,280,0.0017177808725099845,specific
ADGRG6,192,0.0011779068840068465,specific
ADGRG7,406,0.0024907822651394776,specific
ADGRL1,196,0.0012024466107569893,specific
ADGRL2,388,0.002380353494763836,specific
ADGRL3,274,0.0016809712823847706,specific
ADGRL4,364,0.00223311513426298,specific
ADGRV1,517,0.0031717596824559356,frequent
ADH1A,415,0.0025459966503272985,specific
ADH1B,241,0.0014785185366960939,specific
ADH1C,254,0.0015582726486340574,specific
ADH4,250,0.0015337329218839148,specific
ADH5,595,0.0036502843540837174,frequent
ADH6,278,0.0017055110091349134,specific
ADH7,216,0.0013251452445077025,specific
ADHFE1,265,0.0016257568971969497,specific
ADI1,1162,0.007128790620916436,frequent
ADIG,233,0.0014294390831958085,specific
ADIPOQ,341,0.00209201170544966,specific
ADIPOR1,219,0.0013435500395703095,specific
ADIPOR2,179,0.001098152772068883,specific
ADIRF,605,0.0037116336709590737,frequent
ADISSP,152,0.0009325096165054202,specific
ADK,307,0.0018834240280734475,specific
ADM,383,0.0023496788363261576,specific
ADM2,310,0.0019018288231360545,specific
ADM5,693,0.004251507659462212,frequent
ADNP,983,0.006030637848847553,frequent
ADNP2,656,0.004024515187023393,frequent
