context,model_variant,fold,seed,n_train,n_val,n_test,prog_pearson_mean,prog_pearson_median,prog_pearson_min,prog_pearson_max,null_mean,null_sd,null_q95,null_tail_frac_ge,above_floor_q95,margin_over_q95,model_hyperparameter
zel039_aec7,scantype896_mlp,2,1,10755,1276,2972,0.1220895635946429,0.1045190265934976,0.0194322702218451,0.3338637211146252,0.00034197913552,0.0052469376328858,0.0096497347554304,0.0,True,0.1124398288392124,9.0
zel039_aec7,scantype896_mlp,2,2,10755,1276,2972,0.1266457877185819,0.1098914761624418,0.0010539988064756,0.3350834313979102,0.0001527181578282,0.004729254519409,0.0081914321276599,0.0,True,0.1184543555909219,6.0
zel039_aec7,scantype896_mlp,3,0,10766,1229,3008,0.1213717759835739,0.1061654029328496,0.031431052553673,0.3095422393859511,-0.0001319923833769,0.0045829103567381,0.007235750761265,0.0,True,0.1141360252223088,4.0
zel039_aec7,scantype896_mlp,3,1,10766,1229,3008,0.1218106053475557,0.0991227291436431,-0.0294192702614304,0.3125783056792455,-0.0002104756796602,0.0046736647601335,0.0080273790266346,0.0,True,0.113783226320921,3.0
zel039_aec7,scantype896_mlp,3,2,10766,1229,3008,0.1258014365009697,0.1145905686159628,0.0169865316957161,0.298846961118345,0.0001113522903456,0.0045951142822112,0.0070509692992755,0.0,True,0.1187504672016941,6.0
zel039_aec7,scantype896_mlp,4,0,10739,1273,2991,0.1249471988540258,0.103630401103578,-0.0090915195150221,0.3054576864188927,-0.0004850769607176,0.0044785743026063,0.006615920621607,0.0,True,0.1183312782324187,3.0
zel039_aec7,scantype896_mlp,4,1,10739,1273,2991,0.1190171927082496,0.0887092309275636,-0.0006603118767387,0.3023562552715554,-0.000642415485212,0.0053551375418895,0.0086998081026649,0.0,True,0.1103173846055846,3.0
zel039_aec7,scantype896_mlp,4,2,10739,1273,2991,0.1199017208069429,0.0951538461396777,-0.0351668929264874,0.2998013819343234,1.842903938310769e-05,0.0046391636635451,0.0072748652592508,0.0,True,0.112626855547692,2.0
zel039_aec7,scantype896_ridge,0,0,10708,1243,3052,0.146181528255139,0.1604682754672049,0.0201603192480705,0.3058343996336542,0.0005943322089084,0.0059653013739346,0.0096103385316382,0.0,True,0.1365711897235007,1000.0
zel039_aec7,scantype896_ridge,0,1,10708,1243,3052,0.146181528255139,0.1604682754672049,0.0201603192480705,0.3058343996336542,-0.0004435482214947,0.0060060108657905,0.0099289871810583,0.0,True,0.1362525410740807,1000.0
