context,library,marker,program,n_test,r_raw,z_raw,tail_raw,r_partial,z_partial,tail_partial,marker_rel_sb,r_ceiling,r_chem_pred,z_chem_pred,r_img_pred,z_img_pred,fw_flag
zel024_hek293,zel024,p62,P28,3720,-0.0208161810949384,-1.2229738502404253,0.89,-0.0494449726323592,-2.913379048969972,0.995,0.5861,0.7655716818169283,0.0096518949277389,0.5758865192548835,0.0229141893335468,1.363572737153361,False
zel024_hek293,zel024,p62,P29,3720,-0.0215442209373958,-1.434987410326494,0.905,0.0197644033340391,1.262294225874984,0.105,0.5861,0.7655716818169283,0.0008841238564968,-0.0273833467965237,-0.1517609359476732,-9.017942522706004,False
zel024_hek293,zel024,p62,P30,3720,-0.0088902272481985,-0.3744993378880372,0.645,-0.0292776024223041,-2.104218365051567,0.98,0.5861,0.7655716818169283,-0.0073209185646917,-0.3647446042213885,0.0488377399266742,2.9565737282051194,False
zel024_hek293,zel024,p62,P31,3720,-0.0173093260343738,-1.0502756223339136,0.86,-0.0202820965864926,-1.179173863304419,0.88,0.5861,0.7655716818169283,-0.0111852129641031,-0.7001639207550917,0.0066470752924857,0.3550419628728661,False
zel024_hek293,zel024,p62,P32,3720,-0.0187440805663179,-1.1477119537035565,0.89,-0.0093040262299069,-0.5388653648198118,0.745,0.5861,0.7655716818169283,-0.0266334754142824,-1.67736338261753,-0.0750244468938886,-4.591742810821506,False
zel024_hek293,zel024,dapi,P01,7814,0.0203660681914223,1.8333537848449035,0.03,-0.0147305703512008,-1.2443777581260649,0.905,0.4685,0.6844705983459042,0.0426815323795259,3.704476639978059,0.0722180276560458,6.256126725672034,False
zel024_hek293,zel024,dapi,P02,7814,0.0134999236129259,1.0261348773858538,0.155,0.0040672570795736,0.3987659849945505,0.34,0.4685,0.6844705983459042,-0.0026496885333309,-0.1693500457405457,0.0334627201949717,2.7023632083989657,False
zel024_hek293,zel024,dapi,P03,7814,0.0181594426852075,1.60940689716419,0.065,0.0013135161962993,0.0990010217850813,0.415,0.4685,0.6844705983459042,0.0254443973225955,2.2914794817867987,0.0608394551093438,5.133019401522885,False
zel024_hek293,zel024,dapi,P04,7814,0.0009205425335431,0.1350771558821272,0.45,-0.0163639749137618,-1.3355130777931967,0.91,0.4685,0.6844705983459042,0.0277320722611341,2.493574730074632,0.0522929003982887,4.50246554331277,False
zel024_hek293,zel024,dapi,P05,7814,0.0115925046839261,1.175034496481082,0.135,-0.0228688425376126,-2.001029792181045,0.97,0.4685,0.6844705983459042,0.0735563969568257,6.540301063291149,0.1045415125343399,9.323826591439037,False
zel024_hek293,zel024,dapi,P06,7814,0.0044508945074593,0.4683931814372972,0.335,-0.0080295944430812,-0.7617403215860882,0.75,0.4685,0.6844705983459042,0.0011593963148694,-0.017814747323422,0.0524946469509074,4.558343487816092,False
zel024_hek293,zel024,dapi,P07,7814,0.0034462618517152,0.2929581298590617,0.42,0.0100316710317635,0.9216931884612164,0.155,0.4685,0.6844705983459042,-0.0079039395548819,-0.7207995805272615,-0.0326408135877101,-3.0807966336276205,False
zel024_hek293,zel024,dapi,P08,7814,0.0340530718986421,3.303117906653095,0.0,0.0020563847849554,0.1461598313498373,0.47,0.4685,0.6844705983459042,0.0470072151468262,4.4118657424066345,0.0708248350216575,5.90441270983613,False
zel024_hek293,zel024,dapi,P09,7814,0.0193112027383377,1.5777416982429375,0.04,-0.0037467222473914,-0.3322062209244443,0.615,0.4685,0.6844705983459042,0.0350320364704487,3.1257564761050487,0.0435585022332633,4.150459848304793,False
zel024_hek293,zel024,dapi,P10,7814,-0.0127726984664246,-1.189823614113799,0.88,0.0044558548325688,0.3283810384774844,0.41,0.4685,0.6844705983459042,-0.0510067943716445,-4.383735931669278,-0.0315071219731893,-2.667157050795317,False
zel024_hek293,zel024,dapi,P11,7814,-0.0661426209995232,-6.098812087947394,1.0,-0.0175309543212327,-1.4179607081554844,0.925,0.4685,0.6844705983459042,-0.0959362732372766,-8.2872956669134,-0.184665609008341,-15.020228212960795,True
zel024_hek293,zel024,dapi,P12,7814,0.1199688255430526,11.634701276174315,0.0,-0.0117735175752557,-1.0112929353006883,0.865,0.4685,0.6844705983459042,0.1625610508119942,14.991420052895634,0.2596524533318631,22.150687830386897,True
zel024_hek293,zel024,dapi,P13,7814,-0.074797052627571,-6.8142974995624686,1.0,-0.0055066286324223,-0.4813594294208069,0.705,0.4685,0.6844705983459042,-0.0987229937979269,-8.818899041944857,-0.1621378706904373,-14.524647393602123,True
zel024_hek293,zel024,dapi,P14,7814,0.0404506069510156,3.624880980542736,0.0,-0.0205324356525678,-1.8477440056172807,0.97,0.4685,0.6844705983459042,0.0443595944746734,4.00660375141416,0.1545597720281871,13.91575872357666,False
zel024_hek293,zel024,dapi,P15,7814,0.1199103154597899,11.528849119911849,0.0,-0.015528871827375,-1.372400075510552,0.935,0.4685,0.6844705983459042,0.1443292454595983,11.868951684064047,0.2578327562635519,21.52970501371113,True
zel024_hek293,zel024,dapi,P16,7814,0.1097751037634094,9.577491852865576,0.0,-0.0228662765327828,-2.0603508642291217,0.965,0.4685,0.6844705983459042,0.1358884237840707,12.068766324955268,0.2514907254987522,21.142213110672373,True
zel024_hek293,zel024,dapi,P17,7814,-0.0959789099532053,-9.138673972890013,1.0,0.03355429668496,2.827061256933697,0.005,0.4685,0.6844705983459042,-0.1158613181911338,-10.23716469582179,-0.2634192037717769,-22.503794693078657,True
zel024_hek293,zel024,dapi,P18,7814,0.1163592895837805,10.97201672986295,0.0,-0.024336335410052,-1.971028275266098,0.975,0.4685,0.6844705983459042,0.1553283526986477,13.644528279731844,0.2880502337206331,24.7757964082898,True
zel024_hek293,zel024,dapi,P19,7814,-0.0616257123185258,-5.073885216065291,1.0,-0.0091065236872734,-0.6670119415985081,0.74,0.4685,0.6844705983459042,-0.0872406344941909,-7.813730000657482,-0.1960708547301578,-16.45859250064798,True
zel024_hek293,zel024,dapi,P20,7814,-0.1222834214495264,-10.850405807887766,1.0,0.0357835877968894,3.0513809445485456,0.0,0.4685,0.6844705983459042,-0.1440900880920346,-12.65460250984298,-0.2906353993469485,-24.57740868752678,True
zel024_hek293,zel024,dapi,P21,7814,-0.1306037208196082,-12.045074343892056,1.0,0.0057834315309465,0.601444890204469,0.255,0.4685,0.6844705983459042,-0.152291060313276,-12.978773106913106,-0.2573241265807632,-21.95529900073073,True
zel024_hek293,zel024,dapi,P22,7814,-0.1056013387938672,-9.930860859154532,1.0,0.0205682012575052,1.8360895437677467,0.03,0.4685,0.6844705983459042,-0.1479945173011122,-13.149210204872118,-0.2963979650017393,-25.216855077038776,True
zel024_hek293,zel024,dapi,P23,7814,0.086357393689948,7.443036184217537,0.0,-0.0172902084398888,-1.734476886446619,0.965,0.4685,0.6844705983459042,0.1061218900467096,9.498143161815731,0.2291738074367093,19.52577731338146,True
zel024_hek293,zel024,dapi,P24,7814,0.0127714835086859,1.1503658970661463,0.13,-0.0009510875627328,-0.1554983217826024,0.55,0.4685,0.6844705983459042,-0.0037177196047211,-0.3271777695708134,0.0943331806798285,8.343325818334527,False
zel024_hek293,zel024,dapi,P25,7814,0.0731822441550569,6.580758836204453,0.0,-0.0020817902546845,-0.1982199885896372,0.59,0.4685,0.6844705983459042,0.1009518824630904,8.116030966629191,0.2138751508134187,19.632153518702427,True
zel024_hek293,zel024,dapi,P26,7814,-0.1162007471912792,-10.176493075984146,1.0,0.0055924034888869,0.5561561011041095,0.27,0.4685,0.6844705983459042,-0.1413886977894405,-12.016133802755911,-0.2401724406725293,-19.94906195009835,True
